text1,text2,label
Basketball helps me stay active and improves my teamwork skills.,Playing basketball is great for fitness and teamwork.,1
I plan at least one trip every year to a new place.,Every year I make sure to visit a place Iâ€™ve never been before.,1
"I enjoy reading fantasy books filled with magic, dragons, and heroes.","Fantasy novels with dragons, magic, and heroes capture my imagination.",1
Swimming helps me relax and build stamina.,I love reading books about space exploration and aliens.,0
I go jogging every morning to stay fit and clear my mind.,I take a walk every morning to refresh my thoughts and keep my body active.,0
Cooking helps me relax after a long day.,Basketball helps me stay active and improves my teamwork skills.,0
Cooking helps me relax after a long day.,"After a tiring day, cooking helps me unwind and feel better.",1
I enjoy visiting beaches and spending time near the sea.,Reading history books helps me understand past civilizations and their cultures.,0
I like experimenting with new recipes in the kitchen.,I prefer mountains over beaches for vacation.,0
I go jogging every morning to stay fit and healthy.,Running every morning keeps me healthy and active.,1
I prefer homemade meals over restaurant food.,Home-cooked food tastes better to me than dishes from restaurants.,1
I enjoy playing football with my friends on weekends.,Playing football on weekends with friends is fun and energizing.,1
Traveling gives me new perspectives and memories.,I gain new insights and experiences whenever I travel.,1
I love reading novels that make me think deeply about life.,I enjoy reading stories that challenge my perspective on life.,1
I often try cooking international cuisines at home.,Preparing dishes from other countries at home is one of my favorite hobbies.,1
Cycling in the park is my favorite way to exercise.,I like cycling through parks as part of my daily workout.,1
I enjoy reading mystery novels that keep me guessing until the end.,Reading mystery novels is exciting because the suspense keeps me engaged until the final reveal.,1
Cycling in the park is my favorite way to exercise.,I love traveling to new cities and exploring different cultures.,0
I like experimenting with new recipes in the kitchen.,Trying new dishes in the kitchen is something I enjoy a lot.,1
I enjoy visiting beaches and spending time near the sea.,Relaxing on beaches and enjoying the ocean breeze is my favorite activity.,1
I read science fiction stories that explore futuristic societies and new technologies.,Science fiction stories I read imagine future societies and technological innovations.,1
I enjoy visiting beaches and spending time near the sea.,Cooking helps me relax after a long day.,0
I read science fiction stories that explore futuristic societies and new technologies.,I prefer mountains over beaches for vacation.,0
I love reading books about space exploration and aliens.,Books about space and extraterrestrial life are fascinating to me.,1
Reading science fiction inspires me to imagine the future of humanity.,Reading about real scientific discoveries helps me think about our future.,0
I travel to new cities to discover their unique cuisines.,Visiting different cities helps me learn about new cultures through food.,1
Reading history books helps me understand past civilizations and their cultures.,I read history books to learn about old civilizations and how they shaped our world.,1
Cooking for friends gives me joy and relaxation.,Preparing meals for friends makes me feel happy and calm.,1
I love baking cakes and decorating them creatively.,I enjoy reading mystery novels that keep me guessing until the end.,0
I go jogging every morning to stay fit and healthy.,I often try cooking international cuisines at home.,0
I love traveling to new cities and exploring different cultures.,Exploring new cities and experiencing their cultures makes me happy.,1
"I enjoy reading fantasy books filled with magic, dragons, and heroes.",I enjoy playing football with my friends on weekends.,0
Swimming helps me relax and build stamina.,I swim regularly because it helps me stay calm and strong.,1
Reading history books helps me understand past civilizations and their cultures.,I prefer homemade meals over restaurant food.,0
I love baking cakes and decorating them creatively.,Decorating cakes after baking them is something I love doing.,1
I prefer mountains over beaches for vacation.,"For vacations, I choose mountains rather than beaches.",1
I enjoy visiting beaches and spending time near the sea.,I enjoy playing football with my friends on weekends.,0
"I really enjoy reading science fiction novels. They transport me to imaginative worlds, introduce futuristic technology, and allow me to explore moral dilemmas and stories about people facing challenges in unusual situations.","I enjoy reading science fiction books because they take me to imaginative worlds, show futuristic technology, and let me follow stories where people face challenges in unusual circumstances.",1
"I spend my weekends hiking in the mountains. I love feeling the fresh air, watching the scenery, and challenging myself to walk longer distances while enjoying the beauty of nature around me.","On weekends, I like hiking in the mountains. It is refreshing to breathe fresh air, look at beautiful scenery, and push myself to walk longer distances while experiencing nature.",1
"Cooking is my favorite hobby. I like trying new recipes, preparing meals for family and friends, experimenting with ingredients, and enjoying the process of creating something delicious to share.","I love cooking. Trying new recipes, preparing meals for others, experimenting with flavors, and creating dishes that can be enjoyed by family and friends gives me great satisfaction.",1
"I enjoy playing video games because they entertain me, let me solve problems, and allow me to compete or cooperate with friends online in different virtual worlds.","Playing video games is fun for me. It provides entertainment, helps me solve challenges, and allows me to interact with friends in online games.",1
"I spend free time painting landscapes. I like observing nature, using colors to represent it on canvas, and enjoying the relaxing process of creating art that reflects what I see.","Painting landscapes is relaxing for me. I observe nature, use paints to recreate it on canvas, and enjoy the process of creating artworks that show the scenery around me.",1
"I practice yoga every morning to stay healthy, improve flexibility, and reduce stress. It helps me focus on breathing, calm my mind, and start the day with energy and clarity.","Doing yoga in the morning keeps me healthy. It improves flexibility, reduces stress, and lets me focus on my breathing and calm my mind while starting the day energized.",1
"I watch documentaries about wildlife. They teach me about animals, their behavior, ecosystems, and the importance of conserving nature, while keeping me entertained and informed.","Watching wildlife documentaries is educational. I learn about animals, ecosystems, and conservation, and I enjoy seeing natural behavior in different species.",1
"I spend time gardening by planting flowers and vegetables. It is relaxing, allows me to enjoy nature, and gives me a sense of achievement when I see my plants grow and flourish.","Gardening is enjoyable for me. Planting flowers and vegetables relaxes me, connects me with nature, and provides satisfaction when the plants grow successfully.",1
"I enjoy reading science fiction novels. They transport me to imaginative worlds, introduce futuristic technology, and allow me to explore moral dilemmas and stories about people facing challenges in unusual situations.","I love cooking meals at home. Trying new recipes, experimenting with ingredients, and preparing food for family and friends is a relaxing and enjoyable activity.",0
"I spend weekends hiking in the mountains. I enjoy fresh air, beautiful views, and challenging myself to walk long distances while being surrounded by nature.","I like playing video games. It entertains me, allows me to solve challenges, and lets me connect with friends online in virtual worlds.",0
"I enjoy painting landscapes. Observing nature and recreating it on canvas is calming, and I feel satisfied seeing my finished artworks.","I practice yoga every morning to improve health and reduce stress. It helps me focus, relax, and start the day energized.",0
"Watching wildlife documentaries is interesting. I learn about animals, ecosystems, and conservation while seeing natural behavior of species.",I like gardening. Planting flowers and vegetables relaxes me and provides satisfaction when plants grow successfully.,0
I love cooking. Trying new recipes and preparing meals for others makes me happy.,I enjoy reading science fiction books. It transports me to imaginative worlds and introduces futuristic concepts.,0
I enjoy playing video games with friends online. It is both fun and challenging.,I spend my weekends hiking in the mountains. Walking in nature is refreshing and healthy.,0
I like painting and creating artworks that represent natural landscapes.,Practicing yoga daily keeps me physically healthy and mentally calm.,0
Watching documentaries about animals and nature is educational and relaxing.,Gardening and tending plants is satisfying and helps me connect with nature.,0
I enjoy cooking meals that are both tasty and creative.,Reading sci-fi novels lets me explore imaginative worlds and futuristic ideas.,0
Playing video games challenges me and entertains me at the same time.,"Hiking in mountains provides fresh air, exercise, and beautiful scenery.",0
Painting landscapes is a calming hobby that lets me express creativity.,"Yoga improves my flexibility, focus, and overall health when practiced regularly.",0
Wildlife documentaries help me learn about ecosystems and animal life.,Gardening flowers and vegetables is relaxing and gives me a sense of achievement.,0
