text1,text2,label
I love the ocean breeze and sandy shores.,Gardening on weekends helps me connect with nature.,0
Shooting landscapes and street scenes is my hobby.,I love photographing sunsets and everyday life in the city.,1
"Stories about wizards, dragons, and epic quests are my favorite.",Running each morning keeps me healthy and focused.,0
Exploring fresh songs and curating playlists is fun for me.,I enjoy listening to new tracks and sharing playlists with friends.,1
I like discovering new music and building playlists.,Finding new artists and organizing playlists makes my day.,1
Hiking in the mountains makes me feel alive.,I love mountain air and scenic trails.,1
Running each morning keeps me healthy and focused.,Morning runs refresh me and improve my stamina.,1
I enjoy visiting beaches and spending time near the sea.,I enjoy growing herbs and vegetables at home.,0
Every year I make sure to visit a destination I have never seen before.,Once a year I travel somewhere I have not been before.,1
Basketball helps me stay active and improves my teamwork skills.,Playing basketball keeps me fit and teaches me to work with others.,1
I go jogging every morning to stay fit and clear my mind.,Running each morning keeps me healthy and focused.,1
I enjoy visiting beaches and spending time near the sea.,Walking along the shore and listening to waves relaxes me.,1
Running each morning keeps me healthy and focused.,Shooting landscapes and street scenes is my hobby.,0
Walking along the shore and listening to waves relaxes me.,Beach trips make me feel calm and happy.,1
I enjoy listening to new tracks and sharing playlists with friends.,Photography helps me capture moments outdoors and in the streets.,0
Playing basketball keeps me fit and teaches me to work with others.,Regular basketball games make me energetic and improve coordination.,1
Cooking helps me relax after a long day.,Caring for pets teaches patience and routine.,0
"After a tiring day, preparing a meal calms me down.",I enjoy playing basketball because it boosts fitness and team spirit.,0
I enjoy reading fantasy novels with dragons and magic.,Fantasy books full of magic and dragons inspire my imagination.,1
I enjoy visiting beaches and spending time near the sea.,Beach trips make me feel calm and happy.,1
Yoga helps me stay flexible and reduce stress.,Daily yoga keeps my body limber and my thoughts clear.,1
I like discovering new music and building playlists.,Trying new recipes in the evening helps me de-stress.,0
Cooking helps me relax after a long day.,Trying new recipes in the evening helps me de-stress.,1
I like discovering new music and building playlists.,Exploring fresh songs and curating playlists is fun for me.,1
Fantasy books full of magic and dragons inspire my imagination.,I love exploring a new city or country annually.,0
Fantasy books full of magic and dragons inspire my imagination.,"Stories about wizards, dragons, and epic quests are my favorite.",1
Hiking in the mountains makes me feel alive.,Trekking on hill paths is my ideal weekend plan.,1
Yoga helps me stay flexible and reduce stress.,Morning runs refresh me and improve my stamina.,0
Every year I make sure to visit a destination I have never seen before.,I love exploring a new city or country annually.,1
I go jogging every morning to stay fit and clear my mind.,Trekking on hill paths is my ideal weekend plan.,0
I love exploring a new city or country annually.,Once a year I travel somewhere I have not been before.,1
I enjoy listening to new tracks and sharing playlists with friends.,Finding new artists and organizing playlists makes my day.,1
Hiking in the mountains makes me feel alive.,Long bike rides improve my endurance and mood.,0
"After a tiring day, preparing a meal calms me down.",Trying new recipes in the evening helps me de-stress.,1
Photography helps me capture moments outdoors and in the streets.,Playing fetch with my dog helps me unwind.,0
I enjoy playing basketball because it boosts fitness and team spirit.,Regular basketball games make me energetic and improve coordination.,1
I love exploring a new city or country annually.,I enjoy growing herbs and vegetables at home.,0
Every year I make sure to visit a destination I have never seen before.,Daily yoga keeps my body limber and my thoughts clear.,0
Beach trips make me feel calm and happy.,I love the ocean breeze and sandy shores.,1
Fantasy books full of magic and dragons inspire my imagination.,"I like fantasy fiction with heroes, magic, and mythical creatures.",1
I enjoy taking photos of nature and city life.,Shooting landscapes and street scenes is my hobby.,1
Walking along the shore and listening to waves relaxes me.,I love the ocean breeze and sandy shores.,1
I plan at least one trip every year to a new place.,I love exploring a new city or country annually.,1
I love photographing sunsets and everyday life in the city.,I enjoy reading fantasy novels with dragons and magic.,0
"After a tiring day, preparing a meal calms me down.",Spending time in the kitchen is my way to unwind.,1
I go jogging every morning to stay fit and clear my mind.,A daily jog helps me stay in shape and think clearly.,1
Walking along the shore and listening to waves relaxes me.,I enjoy listening to new tracks and sharing playlists with friends.,0
Cooking helps me relax after a long day.,Spending time in the kitchen is my way to unwind.,1
I enjoy playing basketball because it boosts fitness and team spirit.,"After a tiring day, preparing a meal calms me down.",0
I enjoy reading fantasy novels with dragons and magic.,"Stories about wizards, dragons, and epic quests are my favorite.",1
Cooking helps me relax after a long day.,"After a tiring day, preparing a meal calms me down.",1
Playing basketball keeps me fit and teaches me to work with others.,I enjoy playing basketball because it boosts fitness and team spirit.,1
"Stories about wizards, dragons, and epic quests are my favorite.","I like fantasy fiction with heroes, magic, and mythical creatures.",1
I prefer mountains over beaches for vacation.,Trekking on hill paths is my ideal weekend plan.,1
I plan at least one trip every year to a new place.,Once a year I travel somewhere I have not been before.,1
Spending time in the kitchen is my way to unwind.,Fantasy books full of magic and dragons inspire my imagination.,0
I plan at least one trip every year to a new place.,Every year I make sure to visit a destination I have never seen before.,1
I plan at least one trip every year to a new place.,Finding new artists and organizing playlists makes my day.,0
I prefer mountains over beaches for vacation.,Hiking in the mountains makes me feel alive.,1
Exploring fresh songs and curating playlists is fun for me.,I love mountain air and scenic trails.,0
Yoga helps me stay flexible and reduce stress.,I use yoga to relax and build core strength.,1
I use yoga to relax and build core strength.,A daily jog helps me stay in shape and think clearly.,0
Yoga helps me stay flexible and reduce stress.,Practicing yoga improves my balance and calms my mind.,1
I like discovering new music and building playlists.,I enjoy listening to new tracks and sharing playlists with friends.,1
I enjoy taking photos of nature and city life.,I love photographing sunsets and everyday life in the city.,1
Once a year I travel somewhere I have not been before.,Walking my dog every evening is the best part of my day.,0
Exploring fresh songs and curating playlists is fun for me.,Finding new artists and organizing playlists makes my day.,1
I enjoy reading fantasy novels with dragons and magic.,I enjoy group cycling events around the city.,0
Playing basketball keeps me fit and teaches me to work with others.,"Stories about wizards, dragons, and epic quests are my favorite.",0
Practicing yoga improves my balance and calms my mind.,Beach trips make me feel calm and happy.,0
Trying new recipes in the evening helps me de-stress.,Shooting landscapes and street scenes is my hobby.,0
I love mountain air and scenic trails.,Trekking on hill paths is my ideal weekend plan.,1
Practicing yoga improves my balance and calms my mind.,I use yoga to relax and build core strength.,1
I enjoy taking photos of nature and city life.,Photography helps me capture moments outdoors and in the streets.,1
Daily yoga keeps my body limber and my thoughts clear.,Exploring fresh songs and curating playlists is fun for me.,0
Practicing yoga improves my balance and calms my mind.,Daily yoga keeps my body limber and my thoughts clear.,1
Morning runs refresh me and improve my stamina.,I love watching classic movies on weekends.,0
I enjoy visiting beaches and spending time near the sea.,I love the ocean breeze and sandy shores.,1
Shooting landscapes and street scenes is my hobby.,Playing basketball keeps me fit and teaches me to work with others.,0
Daily yoga keeps my body limber and my thoughts clear.,I use yoga to relax and build core strength.,1
Regular basketball games make me energetic and improve coordination.,I prefer mountains over beaches for vacation.,0
I prefer mountains over beaches for vacation.,Going to the cinema relaxes me after work.,0
I prefer mountains over beaches for vacation.,I love mountain air and scenic trails.,1
Spending time in the kitchen is my way to unwind.,Trying new recipes in the evening helps me de-stress.,1
Basketball helps me stay active and improves my teamwork skills.,I enjoy playing basketball because it boosts fitness and team spirit.,1
Photography helps me capture moments outdoors and in the streets.,I love photographing sunsets and everyday life in the city.,1
Running each morning keeps me healthy and focused.,A daily jog helps me stay in shape and think clearly.,1
Basketball helps me stay active and improves my teamwork skills.,Regular basketball games make me energetic and improve coordination.,1
A daily jog helps me stay in shape and think clearly.,Morning runs refresh me and improve my stamina.,1
Trekking on hill paths is my ideal weekend plan.,I go jogging every morning to stay fit and clear my mind.,0
Finding new artists and organizing playlists makes my day.,Learning new programming languages keeps me sharp.,0
A daily jog helps me stay in shape and think clearly.,I enjoy building small apps and automating tasks.,0
I love mountain air and scenic trails.,Every year I make sure to visit a destination I have never seen before.,0
Beach trips make me feel calm and happy.,Practicing yoga improves my balance and calms my mind.,0
I go jogging every morning to stay fit and clear my mind.,Morning runs refresh me and improve my stamina.,1
Basketball helps me stay active and improves my teamwork skills.,Every year I make sure to visit a destination I have never seen before.,0
"I like fantasy fiction with heroes, magic, and mythical creatures.",I enjoy visiting beaches and spending time near the sea.,0
I enjoy reading fantasy novels with dragons and magic.,"I like fantasy fiction with heroes, magic, and mythical creatures.",1
I enjoy taking photos of nature and city life.,I like planting flowers and watching them bloom.,0
Photography helps me capture moments outdoors and in the streets.,Shooting landscapes and street scenes is my hobby.,1
